iter	Passed	Remaining
433	84167	109766
434	84331	109533
435	84524	109338
436	84735	109166
437	84933	108978
438	85122	108777
439	85321	108591
440	85534	108421
441	85758	108265
442	85927	108040
443	86118	107841
444	86300	107632
445	86493	107438
446	86688	107245
447	86840	107000
448	87020	106789
449	87201	106579
450	87400	106391
451	87586	106188
452	87787	106003
453	87973	105800
454	88163	105602
455	88291	105330
456	88483	105134
457	88677	104941
458	88838	104709
459	88995	104473
460	89154	104239
461	89311	104003
462	89515	103822
463	89707	103627
464	89902	103435
465	90084	103230
466	90296	103057
467	90448	102817
468	90638	102620
469	90798	102390
470	90940	102139
471	91131	101943
472	91337	101765
473	91550	101593
474	91746	101404
475	91943	101215
476	92142	101028
477	92346	100846
478	92559	100675
479	92779	100511
480	92921	100261
481	93128	100083
482	93340	99911
483	93477	99657
484	93685	99480
485	93908	99318
486	94122	99147
487	94353	98993
488	94551	98805
489	94728	98595
490	94852	98329
491	95013	98103
492	95163	97865
493	95369	97686
494	95566	97497
495	95794	97339
496	95976	97134
497	96173	96946
498	96377	96764
499	96585	96585
500	96748	96362
501	96918	96146
502	97134	95975
503	97320	95775
504	97516	95585
505	97723	95406
506	97922	95218
507	98116	95026
508	98312	94835
509	98515	94651
510	98728	94478
511	98903	94267
512	99121	94097
513	99336	93925
514	99555	93755
515	99764	93577
516	99962	93388
517	100157	93196
518	100370	93021
519	100564	92828
520	100769	92646
521	100955	92445
522	101164	92266
523	101360	92075
524	101579	91904
525	101805	91741
526	102014	91561
527	102231	91388
528	102418	91189
529	102621	91004
530	102821	90816
531	103006	90614
532	103199	90420
533	103388	90223
534	103602	90046
535	103828	89881
536	104016	89682
537	104206	89485
538	104410	89300
539	104611	89113
540	104829	88940
541	104944	88680
542	105139	88487
543	105316	88279
544	105525	88099
545	105733	87917
546	105915	87714
547	106112	87523
548	106298	87323
549	106508	87143
550	106721	86965
551	106933	86786
552	107143	86606
553	107355	86426
554	107557	86239
555	107753	86047
556	107939	85847
557	108154	85671
558	108305	85443
559	108503	85252
560	108720	85077
561	108860	84841
562	109037	84635
563	109222	84434
564	109391	84221
565	109574	84019
566	109736	83802
567	109854	83551
568	110049	83358
569	110267	83184
570	110487	83010
571	110680	82816
572	110818	82581
573	111011	82388
574	111237	82218
575	111459	82046
576	111651	81851
577	111846	81659
578	112042	81467
579	112235	81273
580	112436	81086
581	112639	80898
582	112854	80721
583	113036	80519
584	113249	80339
585	113447	80148
586	113615	79937
587	113762	79711
588	113929	79499
589	114141	79318
590	114359	79142
591	114537	78937
592	114753	78760
593	114948	78567
594	115166	78390
595	115374	78206
596	115576	78019
597	115775	77829
598	115968	77635
599	116164	77443
600	116379	77263
601	116598	77086
602	116789	76891
603	116989	76701
604	117183	76508
605	117384	76319
606	117584	76129
607	117783	75939
608	117979	75747
609	118166	75549
610	118361	75356
611	118568	75170
612	118763	74978
613	118916	74758
614	119116	74569
615	119315	74378
616	119493	74175
617	119745	74017
618	119896	73797
619	120093	73605
620	120307	73424
621	120513	73237
622	120706	73044
623	120896	72847
624	121102	72661
625	121313	72477
626	121506	72283
627	121704	72092
628	121885	71890
629	122083	71700
630	122283	71509
631	122486	71321
632	122697	71137
633	122897	70947
634	123053	70731
635	123276	70554
636	123475	70363
637	123698	70186
638	123867	69978
639	124069	69789
640	124284	69607
641	124484	69416
642	124689	69228
643	124865	69025
644	125047	68824
645	125209	68613
646	125407	68421
647	125603	68229
648	125799	68036
649	126015	67854
650	126208	67660
651	126411	67471
652	126617	67283
653	126784	67075
654	126977	66881
655	127193	66699
656	127395	66509
657	127587	66314
658	127761	66110
659	127967	65922
660	128177	65736
661	128392	65553
662	128597	65365
663	128762	65157
664	128957	64963
665	129157	64772
666	129370	64588
667	129576	64400
668	129791	64216
669	129954	64007
670	130176	63827
671	130380	63637
672	130574	63443
673	130772	63251
674	130976	63062
675	131181	62873
676	131373	62678
677	131574	62488
678	131750	62285
679	131943	62091
680	132147	61901
681	132350	61711
682	132554	61522
683	132754	61330
684	132965	61144
685	133170	60955
686	133380	60768
687	133588	60580
688	133783	60386
689	133987	60197
690	134160	59993
691	134366	59804
692	134564	59612
693	134708	59395
694	134899	59200
695	135045	58985
696	135234	58789
697	135448	58603
698	135666	58419
699	135856	58224
700	136080	58043
701	136261	57843
702	136462	57651
703	136665	57461
704	136877	57275
705	137077	57083
706	137288	56895
707	137712	56796
708	137872	56588
709	137990	56362
710	138160	56157
711	138291	55938
712	138429	55721
713	138609	55521
714	138769	55313
715	138873	55083
716	139053	54884
717	139255	54693
718	139401	54480
719	139564	54275
720	139743	54075
721	139928	53878
722	140122	53684
723	140307	53487
724	140497	53292
725	140696	53100
726	140858	52894
727	141053	52701
728	141188	52485
729	141373	52288
730	141503	52071
731	141674	51869
732	141828	51662
733	142004	51462
734	142191	51266
735	142387	51073
736	142551	50869
737	142723	50668
738	142886	50464
739	143066	50266
740	143194	50050
741	143342	49841
742	143543	49650
743	143725	49454
744	143922	49262
745	144080	49056
746	144250	48855
747	144386	48643
748	144565	48445
749	144752	48250
750	144898	48042
751	145069	47841
752	145267	47650
753	145464	47459
754	145661	47267
755	145829	47066
756	145976	46858
757	146169	46666
758	146353	46470
759	146536	46274
760	146668	46062
761	146825	45858
762	146957	45647
763	147116	45444
764	147319	45254
765	147479	45052
766	147659	44856
767	147783	44642
768	147954	44444
769	148139	44249
770	148323	44054
771	148503	43858
772	148681	43661
773	148858	43465
774	149022	43264
775	149190	43065
776	149385	42873
777	149584	42683
778	149758	42486
779	149925	42286
780	150114	42093
781	150296	41898
782	150492	41707
783	150686	41515
784	150875	41322
785	151014	41115
786	151200	40922
787	151376	40725
788	151564	40532
789	151759	40341
790	151897	40134
791	152086	39941
792	152270	39747
793	152443	39550
794	152637	39359
795	152813	39163
796	152990	38967
797	153196	38779
798	153382	38585
799	153582	38395
800	153696	38184
801	153836	37979
802	154011	37783
803	154192	37589
804	154380	37396
805	154578	37206
806	154709	36999
807	154850	36796
808	155051	36606
809	155237	36413
810	155433	36222
811	155603	36026
812	155768	35828
813	155938	35632
814	156124	35439
815	156298	35243
816	156451	35043
817	156630	34849
818	156832	34660
819	157037	34471
820	157227	34279
821	157426	34089
822	157628	33900
823	157814	33708
824	158019	33519
825	158227	33331
826	158430	33142
827	158608	32947
828	158757	32747
829	158969	32560
830	159160	32368
831	159362	32178
832	159560	31988
833	159746	31796
834	159924	31601
835	160120	31411
836	160347	31226
837	160549	31037
838	160753	30847
839	160947	30656
840	161156	30468
841	161373	30281
842	161586	30093
843	161770	29900
844	161967	29709
845	162164	29519
846	162375	29331
847	162569	29139
848	162792	28953
849	163010	28766
850	163219	28577
851	163416	28386
852	163660	28204
853	163866	28014
854	164077	27825
855	164227	27627
856	164443	27439
857	164647	27249
858	164836	27056
859	165037	26866
860	165239	26676
861	165448	26487
862	165664	26299
863	165858	26107
864	166075	25919
865	166265	25727
866	166484	25539
867	166699	25350
868	166885	25157
869	167105	24969
870	167323	24781
871	167529	24591
872	167710	24397
873	167849	24197
874	168040	24005
875	168233	23813
876	168420	23621
877	168641	23433
878	168833	23241
879	169043	23051
880	169246	22860
881	169459	22671
882	169665	22481
883	169848	22287
884	170063	22098
885	170258	21906
886	170463	21716
887	170658	21524
888	170847	21331
889	170976	21131
890	171181	20941
891	171373	20749
892	171596	20560
893	171820	20372
894	171960	20174
895	172113	19977
896	172325	19787
897	172534	19597
898	172702	19402
899	172881	19209
900	173092	19019
901	173298	18828
902	173494	18636
903	173701	18446
904	173892	18253
905	174124	18065
906	174333	17875
907	174525	17683
908	174709	17490
909	174910	17298
910	175120	17108
911	175324	16917
912	175535	16726
913	175734	16535
914	175926	16342
915	176133	16151
916	176348	15961
917	176581	15773
918	176776	15580
919	176944	15386
920	177157	15195
921	177357	15004
922	177567	14813
923	177780	14622
924	177974	14430
925	178163	14237
926	178367	14046
927	178577	13855
928	178770	13662
929	178970	13470
930	179180	13279
931	179373	13087
932	179595	12896
933	179783	12704
934	179970	12511
935	180167	12319
936	180373	12127
937	180554	11934
938	180712	11739
939	180886	11545
940	181087	11354
941	181269	11160
942	181462	10968
943	181659	10776
944	181865	10584
945	182079	10393
946	182214	10197
947	182403	10005
948	182532	9809
949	182741	9617
950	182934	9425
951	183128	9233
952	183334	9041
953	183547	8850
954	183730	8657
955	183947	8466
956	184146	8274
957	184339	8081
958	184497	7887
959	184670	7694
960	184870	7502
961	185054	7309
962	185257	7117
963	185471	6926
964	185669	6734
965	185839	6540
966	186039	6348
967	186249	6157
968	186456	5965
969	186633	5772
970	186785	5578
971	186990	5386
972	187173	5193
973	187383	5002
974	187580	4809
975	187769	4617
976	187948	4424
977	188089	4231
978	188283	4038
979	188483	3846
980	188725	3655
981	188937	3463
982	189193	3271
983	189404	3079
984	189620	2887
985	189787	2694
986	189994	2502
987	190217	2310
988	190425	2117
989	190647	1925
990	190861	1733
991	191064	1540
992	191266	1348
993	191454	1155
994	191667	963
995	191869	770
996	192071	577
997	192265	385
998	192472	192
999	192661	0
