iter	RMSE
196	194210.4997
197	193911.5242
198	193797.1773
199	193593.844
200	193441.4401
201	193390.9925
202	193321.6499
203	193059.9052
204	192847.1371
205	192767.6375
206	192623.4197
207	192505.0315
208	192297.4929
209	192212.8774
210	191924.0755
211	191815.2865
212	191705.6949
213	190968.6514
214	190741.8292
215	190439.7435
216	190294.5136
217	190249.4689
218	190146.1657
219	190013.5104
220	189865.1036
221	189727.0482
222	189678.4681
223	189530.2805
224	189365.1307
225	188734.6696
226	188644.4303
227	188444.8346
228	188356.769
229	188204.0916
230	187868.439
231	187709.4639
232	187498.2972
233	187412.6577
234	187280.7698
235	187231.1849
236	187090.7711
237	187031.8778
238	186880.7381
239	186832.128
240	186692.715
241	186647.7988
242	186541.9547
243	186410.7349
244	186322.2751
245	186095.4421
246	186045.8163
247	185856.634
248	185682.9889
249	185545.9343
250	185402.6499
251	185173.3346
252	185153.2548
253	184727.485
254	184586.5782
255	184457.1925
256	184394.0054
257	184142.1895
258	184078.7099
259	183974.0411
260	183853.3743
261	183743.7653
262	183674.8999
263	183286.9362
264	183208.8556
265	183133.4095
266	183093.0004
267	182852.5065
268	182735.5123
269	182574.4273
270	182421.9475
271	182193.0726
272	182055.7383
273	181964.7444
274	181775.1368
275	181424.1273
276	181171.0289
277	180641.6171
278	180607.3692
279	180531.0346
280	180347.3372
281	180300.0282
282	180154.3763
283	180117.3085
284	180008.5279
285	179948.6803
286	179888.3542
287	179772.2064
288	179589.3122
289	179472.4104
290	179277.0039
291	179079.612
292	178996.4286
293	178927.9849
294	178812.1674
295	178750.5311
296	178620.2619
297	178514.5862
298	178394.2274
299	178346.9675
300	178323.0237
301	178116.8358
302	178007.3385
303	177881.1184
304	177850.1483
305	177826.7606
306	177753.7288
307	177670.7239
308	177500.2695
309	177419.7696
310	177265.6798
311	177184.1542
312	176957.6394
313	176828.4323
314	176757.4723
315	176525.9582
316	176335.6899
317	176320.0244
318	176188.4115
319	175950.0698
320	175866.117
321	175723.9156
322	175586.5028
323	175503.6624
324	175482.7853
325	175379.7356
326	175332.3975
327	174626.5025
328	174499.8175
329	174473.1252
330	174374.8588
331	174318.9985
332	174271.5777
333	174167.9265
334	174016.7422
335	173989.2918
336	173926.6957
337	173799.6998
338	173614.3368
339	173484.7902
340	173295.8493
341	173220.0973
342	173153.2114
343	173044.2286
344	172962.1075
345	172944.9544
346	172830.7802
347	172710.639
348	172598.6525
349	172442.3211
350	172427.1701
351	172361.7769
352	172322.7673
353	172234.8702
354	172135.7004
355	172128.3646
356	172120.3763
357	172042.4994
358	171795.8862
359	171761.6755
360	171559.9472
361	171336.9423
362	171271.5808
363	171041.5417
364	170876.8711
365	170795.2737
366	170780.0208
367	170333.0455
368	170275.9076
369	170245.5925
370	170172.2707
371	170093.0117
372	170058.6754
373	170013.8721
374	169927.3942
375	169811.1941
376	169700.2875
377	169679.3095
378	169671.2239
379	169580.1404
380	169432.6659
381	169329.0542
382	169249.9183
383	169225.3722
384	169140.7443
385	169065.8244
386	168977.7713
387	168878.0981
388	168818.5106
389	168740.1613
390	168598.7204
391	168564.4638
392	168135.2187
393	168075.3078
394	167984.0514
395	167812.9929
396	167723.8386
397	167717.3204
398	167665.5265
399	167645.6281
400	167639.8821
401	167560.7659
402	167557.6396
403	167480.2886
404	167370.5263
405	167267.9144
406	167182.306
407	167101.193
408	166928.3384
409	166859.8796
410	166809.0035
411	166703.8392
412	166669.6125
413	166652.4548
414	166563.3853
415	166463.103
416	166404.088
417	166309.2323
418	166243.6399
419	166165.6762
420	166077.606
421	165981.971
422	165949.6033
423	165863.7205
424	165775.464
425	165764.1428
426	165570.9427
427	165508.4313
428	165430.1526
429	165286.5558
430	164982.9349
431	164911.4044
432	164853.4535
433	164821.435
434	164809.2943
435	164777.0045
436	164451.9114
437	164314.7477
438	164250.0636
439	164183.8489
440	164138.3553
441	164118.9452
442	164057.3783
443	164015.7112
444	163969.5429
445	163645.3762
446	163142.317
447	163052.5676
448	162946.1178
449	162862.9451
450	162821.5534
451	162745.8269
452	162671.6195
453	162658.4245
454	162617.8029
455	162400.4073
456	162323.3716
457	162276.9152
458	162189.9761
459	162132.8533
460	162090.3927
461	162006.3277
462	161888.8646
463	161874.8595
464	161794.426
465	161704.4429
466	161682.6279
467	161667.2246
468	161629.6315
469	161589.2924
470	161559.5214
471	161548.3179
472	161527.6515
473	161514.7888
474	161413.5356
475	161329.2849
476	161301.3831
477	161256.7406
478	161203.5914
479	161108.9701
480	161101.3307
481	161048.29
482	160963.4972
483	160916.3443
484	160870.9881
485	160618.504
486	160596.4194
487	160543.1673
488	160387.4262
489	160313.3057
490	160246.4757
491	160190.6523
492	160108.1845
493	160060.5485
494	159918.7311
495	159868.1023
496	159842.41
497	159751.9277
498	159704.5129
499	159669.7203
500	159550.1214
501	159455.8947
502	159360.3652
503	159292.703
504	159279.9817
505	159246.9865
506	159225.8865
507	159091.0535
508	159078.3127
509	159059.4306
510	159056.7295
511	159043.7712
512	159019.8191
513	158894.8131
514	158879.1632
515	158435.4618
516	158328.0475
517	158237.0782
518	158196.2141
519	158151.8871
520	158077.0394
521	158074.907
522	158042.2476
523	158001.9937
524	157902.7315
525	157857.478
526	157835.1297
527	157806.0992
528	157766.9701
529	157745.4656
530	157684.733
531	157573.5223
532	157544.3652
533	157498.7643
534	157491.6428
535	157443.4967
536	157305.8297
537	157268.3967
538	157256.1392
539	156918.4732
540	156889.716
541	156785.9983
542	156711.8913
543	156586.2204
544	156540.7137
545	156500.0597
546	156255.1456
547	156204.5049
548	156057.8179
549	155994.0661
550	155913.4205
551	155868.1229
552	155795.7384
553	155699.8486
554	155595.9377
555	155527.8655
556	155432.0669
557	155323.1588
558	155292.6329
559	155239.9133
560	155178.1893
561	155136.2836
562	155120.6931
563	155050.5782
564	154872.5169
565	154772.5364
566	154736.5769
567	154694.3349
568	154542.5351
569	154506.3186
570	154464.3649
571	154369.9913
572	154347.3472
573	154215.2335
574	154201.1094
575	154146.0209
576	154116.3482
577	154087.0889
578	154026.0758
579	153944.3673
580	153917.6075
581	153767.0549
582	153575.3809
583	153517.4897
584	153442.9885
585	153352.2109
586	153279.055
587	153227.6047
588	153222.9535
589	153181.0654
590	153120.1244
591	153088.7123
592	153029.6858
593	152960.7289
594	152955.6382
595	152836.3993
596	152827.7544
597	152734.1639
598	152661.3332
599	152616.9635
600	152531.1348
601	152466.1814
602	152424.0609
603	152322.5305
604	152241.548
605	152219.881
606	152142.0385
607	152073.2341
608	151999.4541
609	151877.1145
610	151837.4425
611	151811.3277
612	151737.988
613	151592.9562
614	151570.0073
615	151557.9318
616	151505.7388
617	151395.4197
618	151322.2934
619	151298.2029
620	151224.7186
621	151101.906
622	151012.2277
623	150993.9402
624	150796.1433
625	150631.4056
626	150561.8561
627	150545.0082
628	150503.7214
629	150481.8773
630	150462.247
631	150431.1454
632	150075.999
633	150010.5845
634	149902.8902
635	149855.953
636	149819.6915
637	149795.3789
638	149461.6759
639	149390.1336
640	149352.6338
641	149335.6776
642	149239.9101
643	149057.8609
644	148993.737
645	148974.8277
646	148968.0107
647	148851.1158
648	148835.4755
649	148806.5741
650	148797.8839
651	148608.8651
652	148572.6852
653	148557.0806
654	148539.558
655	148226.5919
656	148172.6108
657	148108.0449
658	148059.7137
659	148003.7883
660	147994.2925
661	147930.7866
662	147640.0545
663	147367.4383
664	147358.5926
665	147323.6255
666	147205.8898
667	147084.0569
668	146915.9914
669	146866.3387
670	146832.3053
671	146750.2141
672	146720.4375
673	146681.2133
674	146605.5429
675	146555.6696
676	146548.8491
677	146497.6653
678	146414.6048
679	146376.3846
680	146374.9824
681	146368.4207
682	146307.323
683	146267.472
684	146241.7813
685	146215.7532
686	146144.7462
687	145973.6711
688	145922.9322
689	145863.5521
690	145840.5001
691	145785.3614
692	145774.9061
693	145756.3685
694	145718.2218
695	145678.8413
696	145667.5147
697	145643.8474
698	145632.7855
699	145563.4075
700	145544.4828
701	145516.9211
702	145377.3815
703	145364.7313
704	145354.3929
705	145323.5102
706	145283.8342
707	145232.1934
708	145228.4382
709	145220.9049
710	145160.6976
711	145052.9586
712	145011.626
713	144925.7999
714	144889.5841
715	144841.7316
716	144772.3294
717	144769.1988
718	144749.9403
719	144737.8723
720	144698.3505
721	144673.5052
722	144618.7683
723	144613.7206
724	144612.5386
725	144567.249
726	144517.8304
727	144397.5913
728	144348.492
729	144272.5889
730	144227.1922
731	144175.9457
732	144119.6048
733	144040.673
734	143988.7793
735	143966.3592
736	143945.5881
737	143942.8636
738	143913.3728
739	143890.5426
740	143886.2636
741	143858.5831
742	143842.2978
743	143830.4765
744	143785.8591
745	143766.023
746	143749.2036
747	143686.4719
748	143639.4401
749	143574.9178
750	143555.4763
751	143486.3004
752	143402.0854
753	143342.7585
754	143297.4809
755	143221.9496
756	143159.1807
757	143121.8313
758	143066.6918
759	143051.918
760	143037.8759
761	143016.0814
762	143006.1009
763	142957.911
764	142952.2667
765	142942.6296
766	142930.7198
767	142895.1032
768	142858.7204
769	142835.4958
770	142803.286
771	142765.0599
772	142744.3651
773	142642.8052
774	142632.9021
775	142565.7735
776	142502.4847
777	142399.3718
778	142334.058
779	142312.433
780	142273.8346
781	142240.5434
782	142157.6656
783	142110.4975
784	142098.2898
785	142062.3534
786	142044.5289
787	142024.8337
788	142002.793
789	141964.537
790	141945.4857
791	141921.6245
792	141879.3763
793	141864.5805
794	141849.6486
795	141816.6449
796	141795.4908
797	141781.8049
798	141757.5649
799	141663.5833
800	141645.265
801	141592.8092
802	141571.2747
803	141506.3251
804	141459.7604
805	141408.0154
806	141387.0825
807	141356.4334
808	141321.7243
809	141289.9023
810	141277.6128
811	141246.6171
812	141241.4111
813	141189.8913
814	141176.4542
815	141156.3075
816	141149.8061
817	141130.9912
818	141106.7223
819	141101.2167
820	141072.4998
821	141035.5059
822	140988.7026
823	140936.6006
824	140932.09
825	140890.0628
826	140855.9869
827	140827.1074
828	140770.848
829	140744.1167
830	140701.8175
831	140671.9752
832	140625.7478
833	140599.6452
834	140574.4061
835	140568.4444
836	140549.718
837	140507.8804
838	140502.3878
839	140489.9729
840	140487.911
841	140426.4868
842	140399.0166
843	140359.6746
844	140338.8213
845	140331.2741
846	140304.8167
847	140276.4616
848	140248.3942
849	140205.4922
850	140182.3384
851	140117.4698
852	140074.2876
853	140046.6682
854	140037.4998
855	140022.8706
856	139954.6507
857	139936.9764
858	139911.9668
859	139889.436
860	139858.8839
861	139814.4609
862	139802.9476
863	139789.9274
864	139678.5094
865	139603.6762
866	139582.3789
867	139575.7586
868	139555.4449
869	139535.8782
870	139520.168
871	139465.6848
872	139424.2041
873	139406.8294
874	139341.7246
875	139293.6128
876	139166.3228
877	139086.9749
878	139064.9
879	139015.7726
880	138988.5038
881	138980.641
882	138957.2346
883	138937.3367
884	138926.8915
885	138899.2163
886	138876.0498
887	138695.6775
888	138669.8569
889	138652.3581
890	138595.6125
891	138578.0788
892	138557.7987
893	138527.6438
894	138511.1861
895	138505.0981
896	138473.5471
897	138455.6847
898	138432.5884
899	138402.8934
900	138353.6145
901	138324.4147
902	138277.7446
903	138200.2345
904	138163.9316
905	138132.5086
906	138102.2508
907	138080.3856
908	137984.3466
909	137972.0397
910	137963.4351
911	137876.2386
912	137829.2461
913	137731.2221
914	137696.2274
915	137690.6468
916	137655.4727
917	137649.0855
918	137424.477
919	137388.3432
920	137377.8257
921	137303.5508
922	137289.2155
923	137171.1133
924	137118.3697
925	137009.8853
926	136985.8359
927	136951.9282
928	136908.5049
929	136883.5765
930	136856.102
931	136805.8947
932	136757.6405
933	136714.1253
934	136709.5291
935	136670.4569
936	136636.9127
937	136610.8286
938	136596.6168
939	136537.9871
940	136495.0331
941	136460.5977
942	136446.8152
943	136413.5272
944	136390.3186
945	136270.6432
946	136265.499
947	136241.0907
948	136205.593
949	136173.6336
950	136121.7462
951	136056.6201
952	136033.491
953	135982.541
954	135920.3621
955	135911.7255
956	135741.2984
957	135740.703
958	135700.261
959	135671.416
960	135655.9303
961	135624.7386
962	135623.8751
963	135606.2427
964	135581.6769
965	135578.8854
966	135495.5474
967	135442.1999
968	135431.5643
969	135343.1854
970	135291.0691
971	135266.7178
972	135221.6449
973	135168.6092
974	135138.7976
975	135102.0513
976	135036.208
977	135000.5481
978	134983.8286
979	134910.3385
980	134899.1239
981	134837.7354
982	134811.7148
983	134806.0838
984	134675.2836
985	134650.0114
986	134623.5517
987	134601.2776
988	134534.494
989	134530.2154
990	134520.4449
991	134506.9044
992	134431.5603
993	134418.3371
994	134341.1555
995	134324.7115
996	134291.3805
997	134267.4603
998	134266.8681
999	134211.578
